portfolio,split_date,n_train,n_test,OOS_R2_regime_vs_hist_mean,MSFE_adj_stat,MSFE_adj_pvalue,MSFE_sig_10pct,MSFE_sig_5pct,OOS_R2_static_vs_hist_mean,incremental_OOS_R2_regime_vs_static,delta_mse,delta_mae,mse_regime,mse_static,mse_hist_mean,hist_mean_train_const,hist_mean_prevailing_avg
Qnt 3,1995-01-01,816,371,0.00018143302581175025,0.29561056010624676,0.3837637540464096,False,False,0.0008364804478796506,-0.0006555958151490682,2.0361162109900147e-06,3.5868177179446126e-05,0.003107785365887402,0.003105749249676412,0.003108349323110374,0.009227573529411765,0.008961085871330718
Qnt 3,2000-01-01,876,311,0.0009567038852230647,0.49399095010563804,0.3106562854190953,False,False,0.0006355111285795134,0.0003213970080188089,-1.0294946234399097e-06,3.562684085819945e-05,0.0032021572113948983,0.003203186706018338,0.0032052236613246965,0.009360844748858446,0.008892654582433296
Qnt 3,2010-01-01,996,191,0.004433820008512557,1.6778090381421071,0.0466921921837683,True,True,0.0008485015421455522,0.003588363198074429,-1.1039093244577004e-05,-9.264374746811854e-06,0.003065319857962172,0.003076358951206749,0.0030789714632415317,0.008648995983935743,0.008891775861614647
Qnt 4,1995-01-01,816,371,0.0013567944394820008,1.0235799540100796,0.15301685875461768,False,False,0.0009380517976735891,0.0004191358129111977,-1.1133234251747316e-06,1.5366354718555908e-05,0.0026551221756175077,0.0026562354990426825,0.0026587295250531866,0.007850245098039216,0.007991209517243922
Qnt 4,2000-01-01,876,311,0.0012861821910024052,0.8914875680117625,0.1863338290485167,False,False,0.0009384031521708636,0.00034810570231980087,-9.621042931545927e-07,2.570838378157525e-05,0.002762865913297263,0.0027638280175904177,0.002766424038628508,0.008262442922374429,0.007979841654662628
Qnt 4,2010-01-01,996,191,0.0016635145967821563,0.948611714685317,0.17140906534168288,False,False,0.00044038738420038026,0.001223666099694598,-3.067646969080566e-06,3.4201333884931184e-05,0.0025038637535544795,0.00250693140052356,0.0025080359078965193,0.00765,0.008010305746457788
Hi 20,1995-01-01,816,371,0.0006498824115370727,0.47713198004241825,0.31663407169355406,False,False,0.00034041265466455695,0.00030957514016771714,-5.873077565173457e-07,-4.004711479745071e-06,0.0018965539039024206,0.001897141211658938,0.0018977872424521297,0.006011642156862745,0.006237369569220355
Hi 20,2000-01-01,876,311,0.0012817910489848483,0.7323408821711286,0.23198026613601663,False,False,0.0008662838879507362,0.00041586742027988066,-7.956330004925665e-07,-1.0842306336016072e-05,0.0019123934308535409,0.0019131890638540334,0.001914847865707973,0.006882876712328767,0.00619062112245337
Hi 20,2010-01-01,996,191,-0.0015238381652684652,-0.8592675968909727,0.8049035515181813,False,False,-0.0017636987412861238,0.00023943827902617176,-4.193357394477286e-07,-1.9824505611672205e-05,0.0017509119098458815,0.0017513312455853293,0.0017482478630298475,0.005774799196787148,0.006213295917836747
Lo 10,1995-01-01,816,371,0.006219472560089256,1.1688301042220142,0.12123604441932356,False,False,-0.00032994538048658484,0.006547257703141907,-2.636944258380125e-05,2.8328608876054817e-05,0.004001185875904257,0.004027555318488058,0.0040262268835270475,0.012293382352941173,0.011775582951524522
Lo 10,2000-01-01,876,311,0.010035308282743682,1.7000320502069326,0.04456244854826774,True,True,-0.0002775542150650345,0.010310000913597794,-4.360816624486043e-05,-0.00020382935732510266,0.004186087505978221,0.004229695672223081,0.004228522028110684,0.012179223744292238,0.01167771814545496
Lo 10,2010-01-01,996,191,0.02438162187299242,2.2742230272030874,0.01147629020524188,True,True,0.00022970706598857138,0.02415746394716889,-8.58609600254078e-05,-0.0002380583558988375,0.003468359806408566,0.003554220766433974,0.0035550373836408496,0.011616666666666666,0.011409793916054496
2-Dec,1995-01-01,816,371,0.005531530053878186,1.2257028754260757,0.11015525388027103,False,False,0.0009267523078656525,0.004609049192989212,-2.0675602855536705e-05,3.317714988539111e-05,0.0044651959923068816,0.004485871595162418,0.004490032743369728,0.00999779411764706,0.009936391494710022
2-Dec,2000-01-01,876,311,0.005966284989768811,1.3836996806529778,0.08322521569989783,True,False,0.0006150401386705306,0.005354538106958073,-2.511822640010892e-05,-8.552456529560548e-05,0.004665898234472308,0.004691016460872417,0.004693903399870379,0.01033230593607306,0.009894907894797703
2-Dec,2010-01-01,996,191,0.014680226828362786,1.8682706842443177,0.030862175344381293,True,True,0.0009115314149125142,0.013781257462564422,-5.660630981410737e-05,-0.0001437906654455784,0.0040508787994274495,0.004107485109241557,0.0041112326269350215,0.009663353413654617,0.009752254364417475
3-Dec,1995-01-01,816,371,0.0016381526346903597,0.6472996942907057,0.2587189996749004,False,False,0.0008700962336475326,0.0007687252660014687,-2.9929906602398776e-06,5.736989251646507e-05,0.0038904534623333984,0.0038934464529936383,0.0038968370762568275,0.009903186274509803,0.009690616037746059
3-Dec,2000-01-01,876,311,0.0031256016206474557,0.9453980204719149,0.17222785621923997,False,False,0.0007605696252950267,0.002366832135983321,-9.552248194497417e-06,3.90880818107453e-06,0.004026326785756954,0.004035879033951451,0.004038950937352458,0.009979109589041095,0.009634337192297341
3-Dec,2010-01-01,996,191,0.00913651112656555,1.9006352974613625,0.028674899406726406,True,True,0.0008987286051442833,0.008245192711966332,-3.0585235193380904e-05,-7.491228015697043e-05,0.0036788775101699984,0.0037094627453633793,0.0037127995445192055,0.009410642570281123,0.009600163733650312
4-Dec,1995-01-01,816,371,0.0013092230472321331,0.5765666395889065,0.2821161203096194,False,False,0.0006916014654246849,0.0006180490254191762,-2.259305688923508e-06,4.5183776630070005e-05,0.0036532851511464452,0.0036555444568353687,0.003658074386441664,0.009870098039215687,0.00953055672735058
4-Dec,2000-01-01,876,311,0.002259594789838726,0.7613487238424619,0.2232244027425654,False,False,0.0004609458512425668,0.0017994784006992726,-6.800077232031916e-06,5.551859388629177e-06,0.0037721156515643367,0.0037789157287963686,0.0037806584076043193,0.009987899543378994,0.009451121981965462
4-Dec,2010-01-01,996,191,0.0081056918775817,2.058320905032366,0.01977966936451625,True,True,0.0009088826859430243,0.007203356197367117,-2.496522742842554e-05,-3.5492074306739396e-05,0.003440811938714014,0.0034657771661424394,0.003468930016573251,0.009254016064257027,0.009378426754178453
5-Dec,1995-01-01,816,371,0.001359127792412096,0.6067693210610858,0.2720020052830323,False,False,0.000922000751904406,0.0004375304439059313,-1.5122533962648628e-06,3.584012950633847e-05,0.003454826425038238,0.003456338678434503,0.003459528366189364,0.009083210784313725,0.008882732214214317
5-Dec,2000-01-01,876,311,0.0014088489519241687,0.5971621254665029,0.2751995716412625,False,False,0.0006402001556485848,0.0007691412005919052,-2.740920724146872e-06,2.0698304130484235e-05,0.0035608709648928642,0.003563611885617011,0.0035658947720050753,0.009347031963470318,0.008827831434149554
