# bootstrap_per_portfolio.csv (Task 2); seed=20260706; B=5000; PW moving-block; percentile CIs
window,portfolio,block_method,block_length,B,dMSE_point,OOSR2_point,dMSE_ci90_lo,dMSE_ci90_hi,dMSE_ci95_lo,dMSE_ci95_hi,OOSR2_ci90_lo,OOSR2_ci90_hi,OOSR2_ci95_lo,OOSR2_ci95_hi
2010-01,Med 40,PW_MBB,1,5000,1.9846830527543398e-06,0.0014700234615070418,-4.866071517934837e-06,9.199537278669002e-06,-6.1858063520035434e-06,1.0837543302326608e-05,-0.0014953323744714144,0.004381155636534923,-0.002023166134102208,0.00487479866030086
2010-01,Hi 30,PW_MBB,1,5000,2.986967356647387e-07,-0.0014235671286044749,-9.156071907239271e-07,1.4206217321808384e-06,-1.1020956213738989e-06,1.6410673652458851e-06,-0.004242847067116973,0.0011598473840482633,-0.004745540146291844,0.0016655029754031536
2010-01,Lo 20,PW_MBB,1,5000,1.466780551686896e-05,0.004702864073861779,-5.664317732440565e-06,3.707279338597795e-05,-9.277467253567024e-06,4.198304992776195e-05,-0.0005690279799284381,0.010098533293777306,-0.0015213664735915344,0.01125037466272577
2010-01,Qnt 2,PW_MBB,1,5000,4.872291327901784e-06,0.002286591189787912,-8.23717108298931e-06,1.8751542725264243e-05,-1.0724765099906127e-05,2.2045916040860943e-05,-0.0016828652241267952,0.006339115696172066,-0.002473318835804947,0.007155403000678836
2010-01,Qnt 3,PW_MBB,1,5000,1.5291806708414439e-06,0.0013451546255203173,-5.793367279874885e-06,9.216124210397914e-06,-7.176568995270944e-06,1.1026435561566919e-05,-0.0016733122975419738,0.004319384971690466,-0.0022061274636158367,0.004923723146242448
2010-01,Qnt 4,PW_MBB,1,5000,6.415069314048604e-07,0.0006961679850223668,-2.6781411143885426e-06,4.163336150215988e-06,-3.3234560748473008e-06,4.821939802083634e-06,-0.0020797202808662376,0.0033449983841782496,-0.0026275339395452004,0.00376521112671119
2010-01,Hi 20,PW_MBB,1,5000,4.124767303265664e-07,-0.0015277615272049072,-1.0909575680885986e-06,1.8124324038934077e-06,-1.351573031994931e-06,2.0918562942229576e-06,-0.004331562047002014,0.0010402501926150888,-0.004831038875319747,0.0015701771379298122
2010-01,Lo 10,PW_MBB,1,5000,2.495237520980826e-05,0.007248585495968629,-8.732105857723776e-07,5.3741844703701774e-05,-5.68136647970184e-06,6.115160744532532e-05,0.0003427967137382412,0.014688867278510416,-0.0007830163748782408,0.016515964885111905
2010-01,2-Dec,PW_MBB,1,5000,1.0120745710605363e-05,0.003373261662016347,-8.647224939830036e-06,3.100106475635792e-05,-1.1848983718660359e-05,3.61323552464441e-05,-0.0013296504634621288,0.008140338669273857,-0.002118355014101245,0.009040475203170927
2010-01,3-Dec,PW_MBB,1,5000,5.191348964086259e-06,0.002296958943690308,-9.9839970096942e-06,2.170576642031002e-05,-1.268760238991957e-05,2.5638441763559023e-05,-0.002170657548465327,0.006876733556531601,-0.003143873570064619,0.007847766422814111
2010-01,4-Dec,PW_MBB,1,5000,4.501153359868157e-06,0.002206445144211977,-7.39483664529301e-06,1.6975183866601156e-05,-9.74984404534494e-06,1.9584259689008244e-05,-0.0014287355740973515,0.0058670291888063735,-0.002152472211337969,0.006590501046495139
2010-01,5-Dec,PW_MBB,1,5000,2.241744460905851e-06,0.0014918707387879815,-7.492954703099347e-06,1.2695846066045626e-05,-9.20517197660964e-06,1.4868642217676744e-05,-0.0019937100183819666,0.004977060104710995,-0.0025975131188326777,0.005711772813505862
2010-01,6-Dec,PW_MBB,1,5000,1.097629793617698e-06,0.0012355454670416322,-4.67825894411396e-06,7.168731166923556e-06,-5.821195154535774e-06,8.512865829282654e-06,-0.0015045759664698121,0.003821871969215718,-0.0019487351535408036,0.0043685154948991355
2010-01,7-Dec,PW_MBB,1,5000,1.7677409098187925e-06,0.0012790764013361766,-3.145261789409837e-06,6.949352865515609e-06,-4.084272845264076e-06,8.052816714621549e-06,-0.0013056888414904378,0.0037462574272230324,-0.0017606406326050588,0.004163939542835899
2010-01,8-Dec,PW_MBB,1,5000,1.8873565063576165e-07,0.0003290264517857855,-2.3306348868894146e-06,2.892690682516998e-06,-2.8309754620274344e-06,3.3646356045026335e-06,-0.0026224553164419183,0.0031617344356648707,-0.0032412680610807423,0.0036468481772742737
2010-01,9-Dec,PW_MBB,1,5000,4.769808580937789e-08,0.00013380466238555044,-5.465729329636869e-07,6.82799878252061e-07,-6.715103079258628e-07,7.85021334768163e-07,-0.002258405001812014,0.002406488320629718,-0.0027411801032048207,0.0028016164321230685
2010-01,Hi 10,PW_MBB,1,5000,6.471274383925921e-07,-0.0017763629808780212,-1.2816260619198038e-06,2.4367231418592106e-06,-1.5994471745041027e-06,2.7955014720250523e-06,-0.004647013367756903,0.0008761348776461184,-0.00521465733557978,0.0013731285660738238
