portfolio,split_date,n_train,n_test,OOS_R2_regime_vs_hist_mean,MSFE_adj_stat,MSFE_adj_pvalue,MSFE_sig_10pct,MSFE_sig_5pct,OOS_R2_static_vs_hist_mean,incremental_OOS_R2_regime_vs_static,delta_mse,delta_mae,mse_regime,mse_static,mse_hist_mean
Hi 10,2000-01-01,876,311,0.00039340469947801715,0.37425506947887005,0.3541072782048118,False,False,0.0008338678359114393,-0.00044083073100109615,8.411491232366685e-07,-5.148046952955371e-05,0.001908941161403447,0.0019081000122802103,0.0019096924433852323
Lo 30,2010-01-01,996,191,0.010188497068934654,1.971541340485761,0.02433099462592825,True,True,0.0009032710795038312,0.009293620648186174,-3.4184333700034656e-05,-5.118050498278265e-05,0.003644073580421548,0.0036782579141215826,0.0036815833819172504
Med 40,2010-01-01,996,191,0.0025312258599926585,1.1156018073755696,0.132296309067784,False,False,0.0008071978861146079,0.0017254207298438295,-5.162216470306919e-06,3.850147765494666e-05,0.0029866973230717746,0.0029918595395420815,0.0029942765132139905
Hi 30,2010-01-01,996,191,-0.0006928801183390121,-0.46487590382310523,0.6789898363805176,False,False,-0.0015922316427006145,0.0008979218248195142,-1.59270825865151e-06,-3.437356761774174e-05,0.0017721789215507627,0.0017737716298094142,0.0017709518642135137
Lo 20,2010-01-01,996,191,0.014388391384705157,2.0338810981603688,0.020981792587566606,True,True,0.0008221962090331214,0.013577358428300546,-5.127630587613589e-05,-0.0001599537072166854,0.0037253276739713753,0.003776603979847511,0.003779711644432802
Qnt 2,2010-01-01,996,191,0.006087055263146568,1.7601189178774075,0.03919382291748996,True,True,0.0009065227099674944,0.005185233084726848,-1.8289718374009476e-05,3.043394011058992e-05,0.003508980526792404,0.0035272702451664135,0.0035304706970301462
Qnt 3,2010-01-01,996,191,0.0027690657638684835,1.1905732998831906,0.1169105692731025,False,False,0.0008485015421455522,0.0019221952073207316,-5.913362432007768e-06,4.2440941318520886e-05,0.0030704455887747414,0.003076358951206749,0.0030789714632415317
Qnt 4,2010-01-01,996,191,0.000548389418584927,0.37549201070200566,0.3536472935259609,False,False,0.00044038738420038026,0.00010804961807320268,-2.7087298036217525e-07,6.628220320651496e-05,0.002506660527543198,0.00250693140052356,0.0025080359078965193
Hi 20,2010-01-01,996,191,-0.0005483262723122717,-0.368666482186095,0.6438118325463804,False,False,-0.0017636987412861238,0.0012132326920020198,-2.1247723216686904e-06,-4.9582675763631956e-05,0.0017492064732636606,0.0017513312455853293,0.0017482478630298475
Lo 10,2010-01-01,996,191,0.019989737458298906,2.465487377751033,0.006841349795906115,True,True,0.00022970706598857138,0.019764570453799868,-7.024764674654288e-05,-0.00023013669165442008,0.003483973119687431,0.003554220766433974,0.0035550373836408496
2-Dec,2010-01-01,996,191,0.011241283985728767,1.8005997084696572,0.035882997582954546,True,True,0.0009115314149125142,0.010339177055506688,-4.246801579730567e-05,-8.142974093484218e-05,0.004065017093444251,0.004107485109241557,0.0041112326269350215
3-Dec,2010-01-01,996,191,0.006539560633342045,1.72299515314782,0.042444700766911425,True,True,0.0008987286051442833,0.005645906165570591,-2.0943278585001685e-05,1.020349420798039e-05,0.0036885194667783776,0.0037094627453633793,0.0037127995445192055
4-Dec,2010-01-01,996,191,0.005712402338390765,1.7763096320385747,0.037840948251535944,True,True,0.0009088826859430243,0.004807889459933823,-1.6663073507575555e-05,4.177746595636356e-05,0.003449114092634864,0.0034657771661424394,0.003468930016573251
5-Dec,2010-01-01,996,191,0.0029320600145831266,1.16039764762949,0.12294347204049993,False,False,0.000824116243928863,0.002109682394184853,-7.076659622884483e-06,7.156918037363319e-05,0.003347295374002007,0.0033543720336248915,0.003357138706165765
6-Dec,2010-01-01,996,191,0.0025639387157879723,1.190341922866785,0.11695601484060747,False,False,0.0008605835784843974,0.0017048222793614176,-4.986249015894503e-06,1.8269715959771948e-05,0.002919804842852156,0.0029247910918680504,0.002927310287030197
7-Dec,2010-01-01,996,191,0.0013647198504075364,0.7474761274378003,0.22738810385983088,False,False,0.0006547718328707708,0.0007104131760741206,-2.0102434257840765e-06,4.607894190317152e-05,0.002827671825385163,0.002829682068810947,0.0028315360788791545
8-Dec,2010-01-01,996,191,8.261562095213115e-05,0.15808580388479876,0.437194593402758,False,False,0.00024952873008154963,-0.00016695476914097007,3.962686423680632e-07,5.3963011508575964e-05,0.0023739052400074956,0.0023735089713651275,0.0023741013778670315
9-Dec,2010-01-01,996,191,-3.1036965738362454e-05,0.0554563074655467,0.477887468971366,False,False,0.00011038682295971824,-0.00014143940174426994,2.8805578030158263e-07,1.477511517640473e-05,0.002036890139422963,0.0020366020836426616,0.0020368269224955546
Hi 10,2010-01-01,996,191,-0.00041782458783989895,-0.2557057172997308,0.60091095992861,False,False,-0.002148271566604798,0.0017267374777385491,-3.011007983194647e-06,-6.356292043818712e-05,0.0017407444974211683,0.001743755505404363,0.0017400174753367016
