# bootstrap_results.csv  (Task 2, AJSR revision)
# seed=20260706; B=5000; moving-block bootstrap (whole 18-wide cross-section per month)
# block lengths: PW=Politis-White(2004) auto; fixed robustness=[6, 12]
# PW block per window: {'1995-01': 1, '2000-01': 2, '2010-01': 1}; pooled=1
# boot_p_value = two-sided percentile (CI-inversion) test of H0 in note; CIs are percentile.
# sign_stat_S = (#improved - #not-improved), null 0; dMSE>0 => regime better.
scope,statistic,block_method,block_length,B,point_estimate,boot_p_value,ci90_lo,ci90_hi,ci95_lo,ci95_hi,n_boot_valid
2010-01,kendall_tau,fixed_MBB,12,5000,0.8300653594771243,0.3524,-0.6601307189542485,0.9869281045751636,-0.803921568627451,1.0,5000
2010-01,sign_stat_S,fixed_MBB,12,5000,18.0,0.4248,-12.0,18.0,-12.0,18.0,5000
2010-01,dMSE_mean,fixed_MBB,12,5000,4.6949653011252145e-06,0.306,-3.0636291371968546e-06,1.7480732073724956e-05,-4.522373978041357e-06,1.980054442394214e-05,5000
2010-01,OOSR2_regime_mean,fixed_MBB,12,5000,0.0016005364173303782,0.2632,-0.0009284963464418731,0.004757047150705277,-0.0016095481456615838,0.005348726923674664,5000
POOLED,spearman_rho,PW_MBB,1,5000,0.1042311661506708,0.864,-0.9402476780185759,0.9896800825593396,-0.9711042311661506,0.9958720330237358,5000
POOLED,kendall_tau,PW_MBB,1,5000,-0.045751633986928116,0.9944,-0.8562091503267976,0.9477124183006538,-0.9084967320261439,0.9738562091503269,5000
POOLED,sign_stat_S,PW_MBB,1,5000,-2.0,0.9524,-12.0,18.0,-12.0,18.0,5000
POOLED,dMSE_mean,PW_MBB,1,5000,9.294938502751924e-07,0.8896,-8.539776168832452e-06,1.060411375985974e-05,-1.0419094091318922e-05,1.2311593110411322e-05,5000
POOLED,spearman_rho,fixed_MBB,6,5000,0.1042311661506708,0.8724,-0.9422084623323013,0.9917440660474718,-0.9711042311661506,0.9958720330237358,5000
POOLED,kendall_tau,fixed_MBB,6,5000,-0.045751633986928116,0.9952,-0.8562091503267976,0.9607843137254903,-0.9084967320261439,0.9738562091503269,5000
POOLED,sign_stat_S,fixed_MBB,6,5000,-2.0,0.9468,-12.0,16.0,-12.0,18.0,5000
POOLED,dMSE_mean,fixed_MBB,6,5000,9.294938502751924e-07,0.8936,-8.829759814563612e-06,1.109529662353296e-05,-1.0502748087548588e-05,1.3086345839212326e-05,5000
POOLED,spearman_rho,fixed_MBB,12,5000,0.1042311661506708,0.784,-0.9422084623323013,0.9958720330237358,-0.9732198142414858,0.9958720330237358,5000
POOLED,kendall_tau,fixed_MBB,12,5000,-0.045751633986928116,0.9056,-0.8562091503267976,0.9738562091503269,-0.9215686274509804,0.9738562091503269,5000
POOLED,sign_stat_S,fixed_MBB,12,5000,-2.0,1.0,-12.0,18.0,-12.0,18.0,5000
POOLED,dMSE_mean,fixed_MBB,12,5000,9.294938502751924e-07,0.8068,-8.69343612522699e-06,1.1869679115670802e-05,-1.0658823651137022e-05,1.3852677217270543e-05,5000
1995-01,regime_mu_calm,PW_MBB,3,5000,0.000154052432175,,-0.001773467749055401,0.0025610564230124796,-0.0024669892562124087,0.0029529688876466036,5000
1995-01,regime_mu_stress,PW_MBB,3,5000,0.0064521809034836,,0.0027928528555895464,0.10193562048590694,0.0015265507239953094,0.12279090240920909,5000
1995-01,regime_sigma_calm,PW_MBB,3,5000,0.0187517300193755,,0.017790829173306617,0.026397025825539575,0.015724503744442397,0.02683986865489761,5000
1995-01,regime_sigma_stress,PW_MBB,3,5000,0.0459153149616007,,0.03787273133871139,0.13170762422996493,0.03479028363743127,0.14142857757655444,5000
1995-01,regime_p_calm_calm,PW_MBB,3,5000,0.9671215609366536,,0.7754377177542924,0.986689063504336,0.7153275730709131,0.9906251039776729,5000
1995-01,regime_p_stress_stress,PW_MBB,3,5000,0.9377436281619548,,7.799148882270393e-09,0.7012749290735036,2.5362717259724837e-09,0.7766394775263638,5000
2000-01,regime_mu_calm,PW_MBB,4,5000,-0.0001843669707801,,-0.0025847885743359496,0.00217186769960134,-0.003381547330926672,0.002609321601283371,5000
2000-01,regime_mu_stress,PW_MBB,4,5000,0.0048030848146436,,0.002082643543772462,0.12629025802214636,0.0008970009084586141,0.14633591560835807,5000
2000-01,regime_sigma_calm,PW_MBB,4,5000,0.0182977702517753,,0.016677819260643868,0.02746546122473135,0.014462892168435444,0.027851065389038813,5000
2000-01,regime_sigma_stress,PW_MBB,4,5000,0.0433782595615998,,0.03542454068172423,0.1375803079538666,0.03324227562217725,0.14484130387416808,5000
2000-01,regime_p_calm_calm,PW_MBB,4,5000,0.9677446709880706,,0.7884474080232688,0.9911105626254396,0.739185607058819,0.9937152722060622,5000
2000-01,regime_p_stress_stress,PW_MBB,4,5000,0.9564033144513886,,1.4340806830936969e-08,0.8158755036331368,3.8364595944529e-09,0.8569148406532602,5000
2010-01,regime_mu_calm,PW_MBB,3,5000,0.000855320524671,,-0.0013959455489021358,0.00236390087297944,-0.001942583404296096,0.002693120561978947,5000
2010-01,regime_mu_stress,PW_MBB,3,5000,0.0108373755298129,,0.004255136865619474,0.09226781050173177,0.0024418107398684664,0.11018581557988953,5000
2010-01,regime_sigma_calm,PW_MBB,3,5000,0.0234294738216073,,0.020748557732745913,0.027435999423867694,0.019180692523122767,0.027826034423982786,5000
2010-01,regime_sigma_stress,PW_MBB,3,5000,0.0653936747858797,,0.04440719201470371,0.13694394060622453,0.03878382319682047,0.14493169733815925,5000
2010-01,regime_p_calm_calm,PW_MBB,3,5000,0.9719650219581072,,0.8602131639384121,0.9886863648176918,0.8057637494602001,0.9907739868948958,5000
2010-01,regime_p_stress_stress,PW_MBB,3,5000,0.8202169339654192,,2.988332511000268e-07,0.6469521923455527,1.0759117752279242e-08,0.7173352106501824,5000
