portfolio,split_date,n_train,n_test,OOS_R2_regime_vs_hist_mean,MSFE_adj_stat,MSFE_adj_pvalue,MSFE_sig_10pct,MSFE_sig_5pct,OOS_R2_static_vs_hist_mean,incremental_OOS_R2_regime_vs_static,delta_mse,delta_mae,mse_regime,mse_static,mse_hist_mean
Qnt 4,2000-01-01,876,311,0.0004646200605150641,0.4178962139941727,0.3380115003707288,False,False,0.0009384031521708636,-0.0004742281088079281,1.3106849338522832e-06,3.2905287522186355e-05,0.00276513870252427,0.0027638280175904177,0.002766424038628508
Hi 20,2000-01-01,876,311,0.0015062009078717908,0.833326004230249,0.20233044713114823,False,False,0.0008662838879507362,0.0006404718503656426,-1.2253437398259803e-06,-1.5438537310792644e-05,0.0019119637201142074,0.0019131890638540334,0.001914847865707973
Lo 10,2000-01-01,876,311,0.0022432251772399603,0.7576518106455276,0.22432972739862123,False,False,-0.0002775542150650345,0.0025200799334970103,-1.0659171188368705e-05,7.543803291362727e-06,0.004219036501034713,0.004229695672223081,0.004228522028110684
2-Dec,2000-01-01,876,311,-7.452853535805382e-05,0.28020377753428033,0.38966058433046236,False,False,0.0006150401386705306,-0.0006899930474482119,3.236768743466664e-06,9.672561178421246e-05,0.004694253229615883,0.004691016460872417,0.004693903399870379
3-Dec,2000-01-01,876,311,-0.001765209587412775,-0.1972923917910193,0.578200633594333,False,False,0.0007605696252950267,-0.002527701705847152,1.0201498318711429e-05,0.00011821253463869391,0.0040460805322701625,0.004035879033951451,0.004038950937352458
4-Dec,2000-01-01,876,311,-0.002314398008136598,-0.39913997955466185,0.655104967315952,False,False,0.0004609458512425668,-0.002776623732569261,1.0492627095954991e-05,9.998429416335775e-05,0.0037894083558923236,0.0037789157287963686,0.0037806584076043193
5-Dec,2000-01-01,876,311,-0.0020977099657961684,-0.4970238407786737,0.6904138803602077,False,False,0.0006402001556485848,-0.0027396640547991957,9.76309938828003e-06,7.811550902955822e-05,0.003573374985005291,0.003563611885617011,0.0035658947720050753
6-Dec,2000-01-01,876,311,-0.00107566773317469,-0.29688866382846446,0.6167242444281023,False,False,0.0006651786627591694,-0.0017420051405836467,5.239160490213331e-06,5.707409420421805e-05,0.003012785101748359,0.0030075459412581456,0.003009547828258056
7-Dec,2000-01-01,876,311,0.0003724746626666553,0.34363319789877456,0.3655610775554041,False,False,0.0009120982498528329,-0.0005401162262508308,1.5873851651202267e-06,1.5236294579237808e-05,0.0029405569772076776,0.0029389695920425574,0.0029416526682929825
8-Dec,2000-01-01,876,311,0.0005787337325199315,0.5451018017447815,0.2928417517908919,False,False,0.0009593024361178593,-0.00038093413464124204,1.0328529684586543e-06,1.795534150603878e-05,0.002712401760433829,0.0027113689074653702,0.0027139724278269412
9-Dec,2000-01-01,876,311,0.00087532543075175,0.8982512587748667,0.18452580571878396,False,False,0.0009598139618687274,-8.456970229797633e-05,1.8940934303022378e-07,2.961951444613309e-06,0.0022398726278421385,0.0022396832184991083,0.002241834962996798
